--------------------------------------------------
Date: 2025.04.01 08:31:48

--- Large Blocks
00007feb4d5c1000 .. 00007feb4d7c103f   size 0000000000200040 : xalloc.c 1616 
00007feb4de42118 .. 00007feb4de454f7   size 00000000000033e0 : partial slab 00007feb4de42130 (48/104 bytes)
00007feb4de454f8 .. 00007feb4de49c7f   size 0000000000004788 : partial slab 00007feb4de45510 (64/120 bytes)
00007feb4de49c80 .. 00007feb4de4e6b7   size 0000000000004a38 : full slab 00007feb4de49c98 (56/112 bytes)
00007feb4de4e6b8 .. 00007feb4de51c77   size 00000000000035c0 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4de51c78 .. 00007feb4de5531f   size 00000000000036a8 : full slab 00007feb4de51c90 (40/96 bytes)
00007feb4de55320 .. 00007feb4de57057   size 0000000000001d38 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4de57058 .. 00007feb4de57697   size 0000000000000640 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 292
00007feb4de57698 .. 00007feb4de577b7   size 0000000000000120 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4de577b8 .. 00007feb4de5dc7f   size 00000000000064c8 : fresh slab (136/192 bytes)
00007feb4de5dc80 .. 00007feb4de621c7   size 0000000000004548 : partial slab 00007feb4de5dc98 (72/128 bytes)
00007feb4de621c8 .. 00007feb4de62aa7   size 00000000000008e0 : object.c 392 : ? (destructed) , secure/login.c 682
00007feb4de63c88 .. 00007feb4de63d8f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4de63d90 .. 00007feb4de63edf   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4de63ee0 .. 00007feb4de63fcf   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : conf/race/generic , std/container.c 88
00007feb4de63fd0 .. 00007feb4de640d7   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de640d8 .. 00007feb4de641df   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de642c8 .. 00007feb4de645ef   size 0000000000000328 : prolang.y 22982 : secure/master , secure/master.c 166
00007feb4de646d0 .. 00007feb4de648ef   size 0000000000000220 : prolang.y 22982 : ? (destructed) , secure/login.c 682
00007feb4de648f0 .. 00007feb4de649f7   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de649f8 .. 00007feb4de64ac7   size 00000000000000d0 : prolang.y 14059 : ? (destructed) , secure/login.c 682
00007feb4de64ac8 .. 00007feb4de6625f   size 0000000000001798 : prolang.y 22751 : secure/master , secure/master.c 229
00007feb4de66260 .. 00007feb4de66ee7   size 0000000000000c88 : prolang.y 22751 : d/Standard/race/human_std#1 , d/Standard/std/mail_stuff.c 11
00007feb4de67c08 .. 00007feb4de67d0f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4de67d10 .. 00007feb4de67ddf   size 00000000000000d0 : prolang.y 14059 : ? (destructed) , secure/login.c 682
00007feb4de67de0 .. 00007feb4de67ee7   size 0000000000000108 : object.c 385 : std/object , std/object.c 1308
00007feb4de67ee8 .. 00007feb4de67fb7   size 00000000000000d0 : object.c 392 : std/object , std/object.c 1308
00007feb4de67fb8 .. 00007feb4de68147   size 0000000000000190 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 30
00007feb4de68148 .. 00007feb4de68287   size 0000000000000140 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4de68288 .. 00007feb4de6b667   size 00000000000033e0 : full slab 00007feb4de682a0 (48/104 bytes)
00007feb4de6b668 .. 00007feb4de6fbaf   size 0000000000004548 : partial slab 00007feb4de6b680 (72/128 bytes)
00007feb4de6fbb0 .. 00007feb4de71f67   size 00000000000023b8 : free slab 00007feb4de6fbc8 (16/72 bytes)
00007feb4de71f68 .. 00007feb4de786cf   size 0000000000006768 : fresh slab (120/176 bytes)
00007feb4de786d0 .. 00007feb4de7902f   size 0000000000000960 : prolang.y 22751 : secure/master , secure/master.c (/secure/master/notify.c) 595
00007feb4de79f90 .. 00007feb4de7a447   size 00000000000004b8 : prolang.y 22982 : ? (destructed) , secure/login.c 682
00007feb4de7a448 .. 00007feb4de7a537   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : d/Standard/race/human_std , std/container.c 88
00007feb4de7a538 .. 00007feb4de7a63f   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 229
00007feb4de7a640 .. 00007feb4de7a70f   size 00000000000000d0 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4de7a710 .. 00007feb4de7ddb7   size 00000000000036a8 : full slab 00007feb4de7a728 (40/96 bytes)
00007feb4de7ddb8 .. 00007feb4de8145f   size 00000000000036a8 : full slab 00007feb4de7ddd0 (40/96 bytes)
00007feb4de81460 .. 00007feb4de81d4f   size 00000000000008f0 : object.c 392 : secure/master , secure/master.c 3269
00007feb4de81d50 .. 00007feb4de822df   size 0000000000000590 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 292
00007feb4de822e0 .. 00007feb4de823cf   size 00000000000000f0 : mapping.c 421 : std/cmd/wiz/arch , std/cmd/wiz/arch.c 120
00007feb4de823d0 .. 00007feb4de8249f   size 00000000000000d0 : prolang.y 14059 : d/Standard/race/human_std#1 , std/player_sec.c 783
00007feb4de824a0 .. 00007feb4de831f7   size 0000000000000d58 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4de831f8 .. 00007feb4de832ff   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4de83300 .. 00007feb4de833cf   size 00000000000000d0 : interpret.c::allocate_uninit_array 17900 : std/combat/chumlock#2 , std/combat/cbase.c 2252
00007feb4de833d0 .. 00007feb4de8349f   size 00000000000000d0 : interpret.c::allocate_uninit_array 17900 : std/combat/chumlock#2 , std/combat/cbase.c 2252
00007feb4de834a0 .. 00007feb4de87c27   size 0000000000004788 : full slab 00007feb4de834b8 (64/120 bytes)
00007feb4de87c28 .. 00007feb4de884df   size 00000000000008b8 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4de89560 .. 00007feb4de89b6f   size 0000000000000610 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4de89c68 .. 00007feb4de8d047   size 00000000000033e0 : full slab 00007feb4de89c80 (48/104 bytes)
00007feb4de8d048 .. 00007feb4de91a7f   size 0000000000004a38 : partial slab 00007feb4de8d060 (56/112 bytes)
